D 12
1 2 33
1 3 27
1 4 34
1 5 65
1 6 93
1 7 145
1 8 23
1 9 37
1 10 23
1 11 38
1 12 38
2 3 28 
2 4 35
2 5 42
2 6 94
2 7 172
2 8 50
2 9 64
2 10 51
2 11 47
2 12 65
3 4 11
3 5 69
3 6 71
3 7 166
3 8 44
3 9 57
3 10 44
3 11 72
3 12 59
4 5 71
4 6 66
4 7 174
4 8 52
4 9 66
4 10 53
4 11 73
4 12 67
5 6 192
5 7 114
5 8 83
5 9 97
5 10 70
5 11 43
5 12 94
6 7 235
6 8 112
6 9 126
6 10 113
6 11 133
6 12 127
7 8 137
7 9 124
7 10 133
7 11 151
7 12 109
8 9 14
8 10 38
8 11 61
8 12 38
9 10 36
9 11 67
9 12 24
10 11 31
10 12 25
11 12 56
